exp,nights,budget,destino,pso_num_particles,pso_alpha,pso_beta,pso_gamma,pso_fitness,aco_num_ants,aco_evaporation,aco_alpha,aco_beta,aco_gamma,aco_fitness
636,6,370,Cienfuegos,24,0.8690958777962994,1.1849271022475991,0.9459770199561015,-0.18471118277032988,39,0.2060633968217264,1.5685101955514524,0.6860908170117562,0.7453989874367912,1.0828825014343004
637,9,580,Santa Maria,23,1.034606220715081,0.8939979557622874,1.0713958235226315,0.7189897079426235,31,0.4863829507613612,1.226764726517846,0.7513611806920867,1.0218740927900674,0.6870750894819113
638,7,298,Ciego de Ávila,34,1.1719307360279414,1.0415268176837194,0.7865424462883397,0.9775418495885622,35,0.8510411580883088,1.3491533522640438,0.45338862101331356,1.197458026722643,0.9181895281533672
639,7,1330,Varadero,33,0.47917794109396084,1.609219550630439,0.9116025082756005,0.05153374644842568,44,0.6447242568754235,1.107517966765742,0.8463086244566292,1.0461734087776284,0.5364721715959291
640,5,883,Varadero,18,1.2739872918344315,0.5709058343533057,1.1551068738122632,0.7254762209385135,34,0.438933847776862,0.9914680939162307,0.7773526883239668,1.2311792177598024,0.23939667504378703
641,5,1247,Cienfuegos,45,1.047820186627672,0.9735563885255506,0.9786234248467777,-0.010580375127388103,36,0.7288559902830757,1.4687080643451351,0.6582389011784411,0.8730530344764234,0.999436077828524
642,4,807,Ciego de Ávila,49,1.2550525952661733,0.7133338898467857,1.0316135148870411,0.8647704705024606,34,0.43948749339980253,0.5066844980821079,1.134998507748341,1.3583169941695512,-0.2740105444853689
643,9,1160,Santa Maria,40,1.686482274284065,0.6191454240398114,0.6943723016761238,1.2846769843467243,11,0.6821837271672867,1.1657079444714638,1.2521971039795101,0.5820949515490264,0.7662952349662835
644,5,736,Cienfuegos,26,1.0573495484467075,1.0909747077263012,0.8516757438269911,0.09348328860129618,40,0.4691958811803846,1.1146528674998206,0.571345993259096,1.3140011392410833,0.7592614389226677
645,7,270,Santiago,44,1.1666764685083177,1.1225516847317254,0.7107718467599565,0.14564255578651739,18,0.5134518468037069,1.2040378417865603,0.5707720872465791,1.2251900709668604,0.8719067394697956
646,10,904,Ciego de Ávila,37,0.5193828470156338,0.8176302059903184,1.6629869469940481,0.008726477276036149,35,0.8926179741570474,1.0532817117681268,0.44319510401306283,1.5035231842188104,0.7741782491036038
647,3,748,Matanzas,46,1.474272239473863,0.6921180109438075,0.8336097495823294,0.756754470277609,50,0.3139013441340227,0.6749039318265968,0.9462011482434769,1.3788949199299265,0.30353599652941576
648,8,803,Matanzas,48,0.5643813997578468,1.0632990990545952,1.3723195011875582,0.43882578658534854,29,0.8360972516342616,0.5030751025403549,0.6636304233616122,1.833294474098033,0.2535388089076585
649,10,1327,Camagüey,31,1.7557635372465161,0.5796947685868175,0.6645416941666662,0.9257944810252985,40,0.3210618050670789,1.4818449470362103,0.5227003972299527,0.9954546557338367,1.2282436761429718
650,3,833,Matanzas,45,0.653940907876124,1.7207576229236965,0.6253014692001795,-0.3952227932159607,46,0.8144821684916098,0.8492236509528577,0.9866013607758933,1.164174988271249,0.6991442736870347
651,7,582,Camagüey,17,1.2379177670264743,0.5505400438405315,1.211542189132994,1.0557842186882533,24,0.38452417197738076,1.047578318910381,0.6541902380175095,1.2982314430721098,0.5400261002228335
652,7,330,Matanzas,37,1.2358040622578257,0.4901097374571985,1.274086200284976,1.0093591574732534,41,0.6300872903382695,0.6567534181237,1.337094190926588,1.0061523909497123,-0.06317461270317448
653,5,1041,Varadero,23,1.3196750567980904,0.9288735377684338,0.7514514054334757,0.7978034085392695,49,0.13886480439204948,0.5886311137322011,1.254353285062991,1.1570156012048078,0.2113835216623835
654,5,382,Holguín,27,1.0991193641251822,0.7568792170541424,1.1440014188206755,0.7042945162587256,42,0.3024109401093096,0.9123082138433133,1.0925271392825213,0.9951646468741655,0.5359020902390765
655,4,728,Camagüey,50,1.0523619224564158,0.8498063584117836,1.0978317191318,0.014794746251383661,29,0.3942053371677964,1.3924767966296039,0.7624763589542489,0.8450468444161471,1.2311817643251393
656,10,1327,Cienfuegos,20,1.0849869383546966,0.6525323094231388,1.2624807522221644,0.22090857012282603,42,0.8016369638017774,0.7257531882521661,1.4412513596514807,0.8329954520963533,0.31523177608945746
657,8,1272,Matanzas,31,1.1211691404560216,0.8616766595878864,1.0171541999560918,0.13078899341624872,42,0.14397915929317007,0.824391256782371,0.95508320220866,1.2205255410089688,0.4128631110248082
658,9,325,Santa Maria,48,0.4729961587730156,1.669458068595615,0.8575457726313693,-0.5744782286503213,48,0.13463733826478147,0.48367725213300466,1.2596776475111282,1.256645100355867,0.10917849206212871
659,5,1142,Matanzas,45,1.1580264349997664,1.145373454088938,0.6966001109112959,0.43635046674621664,16,0.5590198445980563,1.0469290610364126,0.5344041384949757,1.418666800468612,0.5198042213554253
660,6,724,Santiago,17,0.5360622257025404,0.7488333889735838,1.715104385323876,-0.520124493572972,36,0.18862550746893847,0.8133052202371355,1.0182852223593595,1.168409557403505,0.23331104827840643
661,9,1353,La Habana,39,1.3308504251859667,0.7712924063002167,0.8978571685138165,0.44787127558472517,21,0.1076979668039945,1.221068766590836,0.9188930868112802,0.8600381465978839,0.7142697939205477
662,6,838,Santa Maria,23,0.6287208200351391,1.1377542127392313,1.2335249672256294,-1.1318425459869395,25,0.49811057051534813,1.2866925986656543,1.11049613622701,0.6028112651073358,1.010116202473267
663,3,1268,Camagüey,39,0.914319453879717,1.0039448658758907,1.0817356802443923,0.2843299161619417,39,0.26629522552828966,1.301021026185775,0.4714604420099643,1.2275185318042612,0.8661549659221099
664,10,1318,Holguín,47,0.7984853812792267,0.9584038532224318,1.2431107654983413,-0.13708966441090958,26,0.6138633048579447,0.8574929154111935,1.329673776030114,0.8128333085586921,-0.41602909642845953
665,6,722,Ciego de Ávila,44,0.6201207367025648,0.6299333653122314,1.7499458979852038,0.35925540743280593,31,0.3693951395969143,0.8731593458212514,1.4346372473225855,0.6922034068561631,0.6175446915098777
666,8,1281,La Habana,21,0.8148520284173024,0.8749367360815153,1.3102112355011823,-0.8199842644709143,16,0.891589745564777,0.7397191320812329,1.112373659446361,1.147907208472406,-0.09822712738871886
667,10,984,Santiago,41,1.294599976222677,0.8182176963071548,0.8871823274701681,0.4921018634890731,20,0.18658103489291228,1.050801530660731,1.0657919744624171,0.883406494876852,0.5505984841781214
