exp,nights,budget,destino,pso_num_particles,pso_alpha,pso_beta,pso_gamma,pso_fitness,aco_num_ants,aco_evaporation,aco_alpha,aco_beta,aco_gamma,aco_fitness
13,8,399,La Habana,22,1.4798362207985907,0.5080239907619087,1.0121397884395007,0.7526127510737244,44,0.5170279467626613,0.7023759235672127,1.2471958721213148,1.0504282043114723,0.23312704190488487
14,10,703,La Habana,45,0.9148773953982314,1.3329073648251755,0.752215239776593,0.39866822276285147,12,0.6407549399961778,0.757269041270418,0.7701712293647787,1.4725597293648034,0.13619862974512797
15,5,651,Matanzas,41,0.8555515033737147,1.2156899483893597,0.9287585482369256,0.6404428261788145,40,0.5271033862948696,1.333992394133304,0.43991661596267295,1.2260909899040229,0.9762326950214382
16,4,1081,Camagüey,26,1.1636583302930419,1.106183113613109,0.7301585560938493,-0.025817591882925428,45,0.13995175921651,1.1176762911981608,0.6286430953066591,1.2536806134951801,0.5266334798125416
17,4,482,Varadero,41,1.1254241259345683,1.3124508397758798,0.5621250342895519,0.5644909534036812,50,0.8544438251853339,1.801135004920406,0.49589211400011574,0.7029728810794784,1.2938368427578695
18,6,370,Cienfuegos,21,1.1082880592234639,1.1207174849760004,0.7709944558005357,0.9344108753766937,33,0.20043506147806456,1.2479342030399758,0.8384374458331186,0.9136283511269058,0.7956481997030949
19,3,1293,Holguín,23,0.9761713758400629,1.0583179923220438,0.9655106318378932,0.25214734932471655,15,0.28735032091601864,1.40991581524675,0.6485155499743535,0.9415686347788967,1.2288294487617646
20,6,1310,Cienfuegos,40,0.890096706299152,1.427416071922913,0.6824872217779347,0.03723128082393104,37,0.22123052018651226,1.098850564085773,1.2573796257950007,0.6437698101192266,0.16511094766262446
21,8,1297,Ciego de Ávila,37,0.6849124738294372,1.1049042796313229,1.2101832465392401,0.4268995003535446,48,0.88242588259891,0.8727202260805033,0.8625676464665661,1.2647121274529307,0.7011167154044118
22,3,1238,Cienfuegos,23,0.47744302426232105,1.3605722204390023,1.1619847552986766,0.1267800808502071,38,0.6719154665653801,1.104439148755898,1.1587292452419582,0.7368316060021437,0.8399645706692884
23,9,920,La Habana,35,1.4071224992391078,0.7324332927856724,0.8604442079752198,0.9364387506094589,40,0.26446012950361486,0.7707478413743367,0.8379248984640214,1.3913272601616422,0.38742223249392516
24,9,266,Santa Maria,45,0.655495006620939,0.8721644793238653,1.4723405140551955,0.26212220005854825,48,0.13527164327544963,1.3705259721237277,1.1896365377031917,0.4398374901730804,0.4280856441578633
25,10,963,La Habana,17,0.8883286456757898,0.8001043751944941,1.311566979129716,0.017080359112560617,43,0.30335556552237475,0.8385106524838755,1.5315613595833693,0.6299279879327553,0.5344786208047947
26,4,951,La Habana,48,0.7675318872068638,0.956584135038601,1.275883977754535,0.016160425366365527,33,0.22707259091820858,1.4864555893512257,0.9021143975327622,0.6114300131160121,0.7393876931498073
27,8,760,Cienfuegos,48,1.32498578143007,0.9167187940122407,0.7582954245576894,0.8366390718875216,33,0.10218386681683041,1.1959357366373782,0.785388069910513,1.0186761934521085,0.5570151020645144
28,4,1021,Santiago,41,0.7252355029946368,0.7051211898945157,1.5696433071108475,0.4524256586854484,16,0.17746276589371413,0.6413192663854196,1.1997132379362878,1.1589674956782925,0.26727226926090825
29,5,514,Ciego de Ávila,23,0.6380821460261006,0.913187806622699,1.4487300473512004,0.34543177586497104,30,0.6962583234930018,1.6619315749465586,0.842443388880939,0.49562503617250253,1.0860070531421084
30,9,934,Matanzas,44,1.2115173640418635,0.8612286447557723,0.9272539912023642,0.8248738949057078,47,0.3899605563774301,0.6815856954947322,1.684237429319754,0.6341768751855137,-0.36162852093023545
31,5,980,Camagüey,17,1.2865984460274902,1.0358184740724532,0.677583079900057,0.7590652418465695,30,0.8613390226890569,1.0044746847800161,0.6154531183786912,1.3800721968412928,0.9220019050977795
32,7,380,Ciego de Ávila,23,0.450926137252374,1.38049040327937,1.168583459468256,-0.6236108681438811,30,0.8924191898729762,1.4285337778799405,1.0708925752047729,0.5005736469152864,1.0265309960373707
33,4,1074,La Habana,25,1.0934698163527428,1.237084493921207,0.6694456897260507,0.3388547726831155,29,0.7876005703373777,1.65480464275574,0.47504885275974007,0.87014650448452,1.0086454232739588
34,10,223,Camagüey,25,0.7413987282884377,1.46593216093879,0.7926691107727724,-0.9853438230540783,19,0.8186059378486682,1.3235201860759231,0.36632663123571757,1.3101531826883597,0.7914748131997309
35,4,1466,Camagüey,44,0.7688074497741068,0.8492844761564505,1.3819080740694423,0.06448048198358733,20,0.29090521384821644,1.2091072362209707,0.722934867542242,1.067957896236787,0.8298043873791368
36,6,1451,Holguín,16,1.0659593895611874,0.8672923271396716,1.066748283299141,0.3716264003040096,40,0.8484020512443147,1.106955212567209,0.8625252437591081,1.0305195436736831,0.41815223216806957
37,10,720,Camagüey,26,0.4323363682190025,1.3952126503488176,1.17245098143218,-0.9192598320180582,25,0.16985341801215287,0.4834225270992598,0.9148853288277603,1.6016921440729799,0.330167624300701
