name,stars,address,cadena,tarifa,price,hotel_url,destino
Iberostar Laguna Azul,5,"Autopista Sur Km 17, Península de Hicacos. Varadero, Varadero",Iberostar,,No disponible,,Varadero
Iberostar Playa Alameda,4,Carretera Las Morlas Km 19 Punta Hicacos Varadero Varadero,Iberostar,,No disponible,,Varadero
Brisas Santa Lucía,4,Avenida Turística SANTIAGO DE CUBA,Cubanacan,Todo Incluido,"USD44,00",,Camagüey
E Camino de Hierro,4,"LG Plaza de la Solidaridad, 76 CAMAGUEY",Cubanacan,Alojamiento y desayuno,"USD44,00",,Camagüey
E La Avellaneda,4,"CL Calle República 226, Ignacio Agramonte y Callejón del Castellano, S/N CAMAGUEY",Cubanacan,Alojamiento y desayuno,"USD44,00",,Camagüey
E El Marqués,4,"CL Cisneros n. 222 / Hermanos Agüero y Martí, S/N CAMAGUEY",Cubanacan,Alojamiento y desayuno,"USD44,00",,Camagüey
E La Sevillana,4,"CL Cisneros n 221 e Hermanos Agüero y Martí, S/N CAMAGUEY",Cubanacan,Alojamiento y desayuno,"USD44,00",,Camagüey
Gran Hotel,3,"CL Maceo No. 67 entre Ignacio Agramonte y General Gómez, S/N Camagüey",Islazul,Alojamiento y desayuno,"USD56,00",,Camagüey
GRAN HOTEL managed by Meliá Hotels International,3,Maceo No. 64 e/ General Gómez e Ignacio Agramonte Camaguey,Meliá,,No disponible,,Camagüey
HOTEL COLÓN managed by Meliá Hotels International,3,República no. 472 e/ San José y San Martín Camagüey Camaguey,Meliá,,No disponible,,Camagüey
Hotel Tararaco,2,"Avenida Tararaco, Playa Santa Lucía. Camagüey",Islazul,,No disponible,,Camagüey
Hotel Colón,2,República No. 267 Camagüey,Islazul,,No disponible,,Camagüey
Hotel Camagüey,2,"Carretera central km 4 ½ Jayamá, Camagüey Camagüey",Islazul,,No disponible,,Camagüey
Hotel Isla de Cuba,2,"San Esteban No.453, esq. Popular Camagüey",Islazul,,No disponible,,Camagüey
Hotel Puerto Príncipe,2,"Ave. de los Mártires No.60 e/ Rotario y Andrés Sánchez, Camagüey Camagüey",Islazul,,No disponible,,Camagüey
Hotel Plaza,2,"Calle Van Horne, No. 1 e/ República y Avellaneda, Camagüey, Cuba Camagüey",Islazul,,No disponible,,Camagüey
Hotel Florida,2,"Carretera Central, km 536, Florida, Camagüey Camagüey",Islazul,,No disponible,,Camagüey
Hotel Caonaba,1,Bahia de Nuevitas Camaguey Camagüey,Islazul,,No disponible,,Camagüey
Hotel Costa Blanca,1,"Calle Segunda, Residencial Sta.Lucia Camagüey",Islazul,,No disponible,,Camagüey
Iberostar Selection Esmeralda,5,Vial Principal Parcela 21 Cayo Cruz Camagüey,Iberostar,,No disponible,,Camagüey
Iberostar Coral Esmeralda,5,Vial Principal Parcela 21 Cayo Cruz Camagüey,Iberostar,,No disponible,,Camagüey
Las Tunas,2,"AV Ave. 2 de Diciembre, Las Tunas, Las Tunas, S/N Las Tunas",Islazul,Alojamiento y desayuno,"USD36,00",,Las Tunas
Santo Domingo,2,"CR Carretera a la Plata km16, Santo Domingo, Granma, S/N Granma",Islazul,Alojamiento y desayuno,"USD56,00",,Granma
Villa Bayamo,2,Carretera Central Vía Manzanillo Km 5 ½ Granma,Islazul,,No disponible,,Granma
Hotel Guacanayabo,2,Avenida Camilo Cienfuegos Granma,Islazul,,No disponible,,Granma
Villa Balcón de la Sierra,2,Carreter Providencia Km 1 Masó Granma,Islazul,,No disponible,,Granma
Hotel Niquero,2,"CALLE: MARTI NO. 100 NIQUERO, GRANMA Granma",Islazul,,No disponible,,Granma
Hotel Telégrafo,4,"275 Jose A Saco, Bayamo Granma",Islazul,,No disponible,,Granma
E Rueda,4,"CL Calle Independecia, Esquina Jose Maria Agramonte, S/N Ciego de Ávila",Cubanacan,CP,"USD40,00",,Ciego de Ávila
Mojito,4,"AV Avenida de los Hoteles, S/N Cayo Coco",Cubanacan,Todo Incluido,"USD54,00",,Ciego de Ávila
Sol Cayo Coco,4,"Jardines del Rey, s/n Ciego De Avila",Meliá,All inclusive,"USD75,94",,Ciego de Ávila
